scene_path,object_path,active_self,components,network_transform,mesh_local_max_abs
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/TestSphere_RootLevel[2]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/TestSphere_PlayerPos[3]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/ShaderTest_Clouds[4]/Test_Ghibli_Rim[0]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/ShaderTest_Clouds[4]/Test_Ghibli_Gradient[1]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/ShaderTest_Clouds[4]/Test_VeilRaymarch[2]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshCollider;UnityEngine.MeshRenderer","",5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/ShaderTest_Clouds[4]/Test_Outline_Comparison[3]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.SphereCollider;UnityEngine.MeshRenderer","",0.5
"Assets/_Project/Scenes/BootstrapScene.unity","TestObjects[19]/NetworkTestCanvas[5]",true,"UnityEngine.RectTransform;UnityEngine.Canvas;UnityEngine.UI.CanvasScaler;UnityEngine.UI.GraphicRaycaster;ProjectC.UI.NetworkTestMenu","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]",true,"UnityEngine.Transform;ProjectC.Core.ConstellationController","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[0]",true,"UnityEngine.Transform;UnityEngine.MeshFilter;UnityEngine.MeshRenderer","",240094.046875
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[0]/Orion_Line[0]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[0]/Orion_Line[1]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
"Assets/_Project/Scenes/BootstrapScene.unity","ConstellationController[20]/SkyDome_Stars[0]/Orion_Line[2]",true,"UnityEngine.Transform;UnityEngine.LineRenderer","",
